way_id,start,end
4395253,13.365814_52.525265,13.365955_52.525190
4395253,13.365955_52.525190,13.365972_52.525168
4395253,13.365972_52.525168,13.365984_52.525152
4395253,13.365984_52.525152,13.366018_52.525106
4395253,13.366018_52.525106,13.366058_52.525041
4395253,13.366058_52.525041,13.366099_52.524951
4395253,14.773188_55.174661,15.365449_54.860048
4395253,15.365449_54.860048,15.849184_54.214043
4395253,15.849184_54.214043,16.019080_53.938068
4395253,16.019080_53.938068,16.096782_53.767275
4395332,13.369508_52.521795,13.369708_52.521974
4395332,13.369708_52.521974,13.369875_52.522115
4395332,13.369875_52.522115,13.369922_52.522140
4395332,13.369922_52.522140,13.370077_52.522222
4395332,13.370077_52.522222,13.370281_52.522310
4395332,13.370281_52.522310,13.370495_52.522390
4395332,13.370495_52.522390,13.370628_52.522432
4395332,13.370628_52.522432,13.370753_52.522468
4395332,13.370753_52.522468,13.371009_52.522531
4395332,13.371009_52.522531,13.371203_52.522566
4395332,13.371203_52.522566,13.371427_52.522593
4395332,13.371427_52.522593,13.371637_52.522604
4395332,13.371637_52.522604,13.371815_52.522609
4395332,13.371815_52.522609,13.372072_52.522611
4395332,13.372072_52.522611,13.372310_52.522611
4395332,13.372310_52.522611,13.372462_52.522608
4395332,13.372462_52.522608,13.372707_52.522590
4395332,13.372707_52.522590,13.372898_52.522568
4395332,13.372898_52.522568,13.373104_52.522540
4395332,13.373104_52.522540,13.373337_52.522498
4395332,13.373337_52.522498,13.373548_52.522452
4395332,13.373548_52.522452,13.373586_52.522444
4395360,13.377804_52.519152,13.377842_52.519219
4395360,13.377842_52.519219,13.377798_52.519229
4395360,13.377798_52.519229,13.377132_52.519489
4395360,13.377132_52.519489,13.376911_52.519568
4395360,13.376911_52.519568,13.376810_52.519600
4395360,13.376810_52.519600,13.376767_52.519614
4395360,13.376767_52.519614,13.376696_52.519699
4395360,13.376696_52.519699,13.376656_52.519721
4395433,13.368268_52.522366,13.368548_52.522560
4395433,13.368548_52.522560,13.368603_52.522629
4395577,13.787061_49.554946,13.950704_49.578187
4395577,13.364995_52.525107,13.365141_52.525128
4395577,13.365141_52.525128,13.365451_52.525172
4395577,13.365451_52.525172,13.365510_52.525187
4395577,13.365510_52.525187,13.365814_52.525265
4395577,12.766974_55.461386,12.766289_55.464750
4395577,12.766289_55.464750,12.766962_55.464887
4395577,12.943003_55.495279,12.943150_55.495300
4395577,12.943150_55.495300,12.943629_55.491927
4395599,13.366025_52.521061,13.366233_52.521169
4395599,13.366233_52.521169,13.366421_52.521270
4395599,13.366421_52.521270,13.366950_52.521544
4395599,13.366950_52.521544,13.367770_52.521972
4395599,13.367770_52.521972,13.367952_52.522109
4395599,13.367952_52.522109,13.367956_52.522112
4395599,13.367956_52.522112,13.367963_52.522118
4395599,13.367963_52.522118,13.367980_52.522133
4395599,13.367980_52.522133,13.368040_52.522318
4396823,13.748739_53.982161,13.747829_53.982384
4396823,13.747829_53.982384,13.747545_53.982453
4396823,13.036140_51.068024,13.036406_51.067959
4396823,13.036406_51.067959,13.036139_51.068024
4396823,13.036139_51.068024,13.036130_51.068026
4396823,13.036130_51.068026,13.035482_51.068184
4396823,13.035482_51.068184,13.034363_51.068457
4396823,13.034363_51.068457,13.032730_51.068858
4396823,13.032730_51.068858,13.032490_51.068916
4399488,13.289648_51.019422,13.292554_51.019271
4399488,13.292554_51.019271,13.328071_51.017546
4399488,13.328071_51.017546,13.481367_51.016628
4399488,13.444489_54.015423,13.445072_54.015393
4399488,13.445072_54.015393,13.445020_54.014388
4399488,13.418122_54.015490,13.418157_54.016542
4399488,13.418157_54.016542,13.419680_54.016490
4399491,13.121421_53.995853,13.121284_53.995830
4399491,13.632520_51.039711,13.632383_51.039687
4401662,13.368201_52.524458,13.368202_52.524401
4401662,13.368202_52.524401,13.368205_52.524254
4401662,13.368205_52.524254,13.368205_52.524242
4401662,13.368205_52.524242,13.368206_52.524197
4401662,13.368206_52.524197,13.368206_52.524142
4401662,13.368206_52.524142,13.368206_52.524100
4401662,13.368206_52.524100,13.368205_52.524090
4401662,13.368205_52.524090,13.368206_52.524037
4401967,10.721918_51.127089,10.724538_51.122068
4401967,10.724538_51.122068,10.725937_51.119415
4401967,13.381488_52.515141,13.381541_52.515038
4401967,13.381541_52.515038,13.381561_52.515001
4401967,13.381561_52.515001,13.381566_52.514991
4401967,13.381566_52.514991,13.381666_52.514801
4401967,13.381666_52.514801,13.381712_52.514713
4401967,16.024175_53.932000,16.025454_53.932686
4401967,16.025454_53.932686,16.031453_53.921499
4401967,16.031453_53.921499,16.037488_53.910011
4401967,16.037488_53.910011,16.039113_53.906510
4401967,16.039113_53.906510,16.041058_53.903193
4401967,16.041058_53.903193,16.041111_53.903090
4401967,16.041111_53.903090,16.040781_53.902918
4402014,13.079086_57.004969,13.079151_57.004017
4402014,13.095065_57.005275,13.095030_57.005810
4402014,13.286653_54.012016,13.283807_54.011962
4402014,13.283807_54.011962,13.283586_54.011947
4402014,13.283586_54.011947,13.283605_54.011672
4402014,13.288912_54.012059,13.288898_54.012270
4402014,13.502370_51.020597,13.502418_51.019973
4402014,13.502418_51.019973,13.495970_51.019470
4402014,13.495970_51.019470,13.484971_51.018708
4402014,13.484971_51.018708,13.479496_51.018360
4402014,13.735434_48.030942,13.735582_48.029048
4402014,13.735582_48.029048,13.716310_48.027545
4402014,13.716310_48.027545,13.683725_48.025286
4402014,13.683725_48.025286,13.669490_48.024383
4402037,13.383941_52.516839,13.383927_52.516930
4402037,13.383927_52.516930,13.383924_52.516954
4402037,13.383924_52.516954,13.383858_52.517375
4402037,13.383858_52.517375,13.383795_52.517729
4402228,14.865839_52.778775,14.865463_52.780440
4402228,14.865463_52.780440,14.865249_52.782132
4402228,14.865249_52.782132,14.865088_52.782103
4402228,14.865678_52.778747,14.865839_52.778775
4402228,11.911212_52.259001,11.910900_52.260760
4402228,11.910900_52.260760,11.910575_52.262624
4403508,13.376428_52.521716,13.376540_52.521565
4403508,13.376540_52.521565,13.376660_52.521320
4403508,13.376660_52.521320,13.376722_52.521115
4403508,13.376722_52.521115,13.376785_52.520839
4403526,12.013608_51.895595,12.014341_51.894184
4403526,12.014341_51.894184,12.014572_51.893610
4403526,12.014572_51.893610,12.014626_51.893635
4403526,11.969706_52.005217,11.969641_52.005194
4403526,14.739102_53.149372,14.741071_53.145101
4403526,14.741071_53.145101,14.760833_53.101512
4403526,14.760833_53.101512,14.801335_52.996562
4403526,14.801335_52.996562,14.828909_52.899227
4403526,14.828909_52.899227,14.836286_52.868233
4403559,13.385288_52.520999,13.385219_52.521054
4403559,13.385219_52.521054,13.385159_52.521147
4403559,13.385159_52.521147,13.385027_52.521351
4403559,13.385027_52.521351,13.384745_52.521786
4403559,13.384745_52.521786,13.384617_52.521983
4403559,13.384617_52.521983,13.384438_52.522258
4403559,13.384438_52.522258,13.384424_52.522279
4411242,11.873304_52.657608,11.869668_52.616179
4411242,11.869668_52.616179,11.866440_52.516314
4411242,11.866440_52.516314,11.871374_52.407889
4411242,11.871374_52.407889,11.882406_52.309812
4411242,11.882406_52.309812,11.910753_52.149730
4411242,11.910753_52.149730,11.955683_52.017837
4411242,11.955683_52.017837,12.037978_51.799604
4411242,12.037978_51.799604,12.253776_51.508087
4411242,12.253776_51.508087,12.446590_51.335743
4411242,12.446590_51.335743,12.618350_51.220732
4411242,12.618350_51.220732,12.761175_51.150954
4411242,14.729118_53.152361,14.730381_53.152942
4411242,14.730381_53.152942,14.731638_53.150207
4412686,12.135882_51.669876,12.135896_51.669856
4412686,14.599246_53.382137,14.599300_53.382060
4412686,14.599300_53.382060,14.599510_53.381757
4412687,17.862542_52.304126,17.870539_52.466764
4412687,17.870539_52.466764,17.866782_52.629544
4412687,14.866162_52.451457,14.868838_52.505870
4412687,14.868838_52.505870,14.867581_52.560323
4412687,11.869782_52.598787,11.869797_52.599088
4412687,11.869797_52.599088,11.871187_52.599020
4412687,11.869777_52.490845,11.868386_52.490813
4412687,11.868386_52.490813,11.868380_52.491103
4412687,8.873388_52.421689,8.869185_52.421592
4412687,8.873402_52.746117,8.873417_52.746418
4412687,8.873417_52.746418,8.877620_52.746212
4412689,13.367805_52.525105,13.367838_52.524792
4412689,13.367838_52.524792,13.367891_52.524621
