id,node,lon,lat
junction_728,13.2383_52.5295,13.2383,52.5295
junction_729,13.2395_52.5291,13.2395,52.5291
junction_730,13.2399_52.5292,13.2399,52.5292
junction_731,13.2328_52.5336,13.2328,52.5336
junction_732,13.2256_52.536,13.2256,52.536
junction_733,13.2239_52.5395,13.2239,52.5395
junction_734,13.2234_52.5399,13.2234,52.5399
junction_735,13.243_52.5343,13.243,52.5343
junction_736,13.2385_52.5419,13.2385,52.5419
junction_737,13.2447_52.5345,13.2447,52.5345
junction_738,13.2207_52.5309,13.2207,52.5309
junction_739,13.246_52.5388,13.246,52.5388
junction_740,13.2439_52.5399,13.2439,52.5399
junction_741,13.2439_52.5398,13.2439,52.5398
junction_742,13.244_52.5396,13.244,52.5396
junction_743,13.244_52.5395,13.244,52.5395
junction_744,13.244_52.5394,13.244,52.5394
junction_745,13.244_52.5393,13.244,52.5393
junction_746,13.228_52.5384,13.228,52.5384
junction_747,13.2292_52.5304,13.2292,52.5304
junction_748,13.228_52.5305,13.228,52.5305
junction_749,13.2311_52.5303,13.2311,52.5303
junction_750,13.2387_52.5382,13.2387,52.5382
junction_751,13.246_52.5389,13.246,52.5389
junction_752,13.2296_52.5466,13.2296,52.5466
junction_753,13.2441_52.5389,13.2441,52.5389
junction_754,13.2441_52.5388,13.2441,52.5388
junction_755,13.2315_52.5297,13.2315,52.5297
junction_756,13.2381_52.5289,13.2381,52.5289
junction_757,13.2378_52.5289,13.2378,52.5289
junction_758,13.237_52.529,13.237,52.529
junction_759,13.2354_52.5292,13.2354,52.5292
junction_760,13.2346_52.5293,13.2346,52.5293
junction_761,13.2458_52.5398,13.2458,52.5398
junction_762,13.2266_52.5305,13.2266,52.5305
junction_763,13.222_52.5308,13.222,52.5308
junction_764,13.2208_52.5309,13.2208,52.5309
junction_765,13.2306_52.5298,13.2306,52.5298
junction_766,13.2267_52.5303,13.2267,52.5303
junction_767,13.2265_52.5303,13.2265,52.5303
junction_768,13.2241_52.5306,13.2241,52.5306
junction_769,13.2336_52.5294,13.2336,52.5294
junction_770,13.232_52.5296,13.232,52.5296
junction_771,13.2408_52.5346,13.2408,52.5346
junction_772,13.2408_52.5347,13.2408,52.5347
junction_773,13.2438_52.5385,13.2438,52.5385
junction_774,13.2424_52.5436,13.2424,52.5436
junction_775,13.2398_52.5429,13.2398,52.5429
junction_776,13.246_52.5384,13.246,52.5384
junction_777,13.2442_52.5385,13.2442,52.5385
junction_778,13.2396_52.5429,13.2396,52.5429
junction_779,13.2428_52.5341,13.2428,52.5341
junction_780,13.239_52.5329,13.239,52.5329
junction_781,13.2409_52.5349,13.2409,52.5349
junction_782,13.2414_52.5356,13.2414,52.5356
junction_783,13.2416_52.536,13.2416,52.536
junction_784,13.2444_52.5353,13.2444,52.5353
junction_785,13.2342_52.5406,13.2342,52.5406
junction_786,13.2405_52.5342,13.2405,52.5342
junction_787,13.2409_52.5438,13.2409,52.5438
junction_788,13.2449_52.5364,13.2449,52.5364
junction_789,13.2454_52.5331,13.2454,52.5331
junction_790,13.2195_52.5409,13.2195,52.5409
junction_791,13.2316_52.5391,13.2316,52.5391
junction_792,13.2308_52.5385,13.2308,52.5385
junction_793,13.2396_52.5338,13.2396,52.5338
junction_794,13.2439_52.534,13.2439,52.534
junction_795,13.2415_52.5281,13.2415,52.5281
junction_796,13.2273_52.5284,13.2273,52.5284
junction_797,13.2194_52.5409,13.2194,52.5409
junction_798,13.2189_52.5409,13.2189,52.5409
junction_799,13.2381_52.529,13.2381,52.529
junction_800,13.2381_52.5288,13.2381,52.5288
junction_801,13.2213_52.5423,13.2213,52.5423
junction_802,13.2287_52.542,13.2287,52.542
junction_803,13.242_52.5435,13.242,52.5435
junction_804,13.2418_52.5434,13.2418,52.5434
junction_805,13.2329_52.5337,13.2329,52.5337
junction_806,13.2326_52.5432,13.2326,52.5432
junction_807,13.2339_52.5458,13.2339,52.5458
junction_808,13.2331_52.5455,13.2331,52.5455
junction_809,13.2319_52.5451,13.2319,52.5451
junction_810,13.2355_52.5464,13.2355,52.5464
junction_811,13.2293_52.546,13.2293,52.546
junction_812,13.2292_52.5454,13.2292,52.5454
junction_813,13.2299_52.5438,13.2299,52.5438
junction_814,13.2376_52.5304,13.2376,52.5304
junction_815,13.2376_52.5297,13.2376,52.5297
junction_816,13.219_52.5399,13.219,52.5399
junction_817,13.2406_52.5431,13.2406,52.5431
junction_818,13.2467_52.5379,13.2467,52.5379
junction_819,13.238_52.5296,13.238,52.5296
junction_820,13.2433_52.5459,13.2433,52.5459
junction_821,13.2432_52.5461,13.2432,52.5461
junction_822,13.2431_52.5466,13.2431,52.5466
junction_823,13.2413_52.545,13.2413,52.545
junction_824,13.2438_52.5439,13.2438,52.5439
junction_825,13.2302_52.5428,13.2302,52.5428
junction_826,13.2435_52.5451,13.2435,52.5451
junction_827,13.239_52.5427,13.239,52.5427
junction_828,13.2382_52.5425,13.2382,52.5425
junction_829,13.2421_52.5285,13.2421,52.5285
junction_830,13.2426_52.528,13.2426,52.528
junction_831,13.2302_52.5416,13.2302,52.5416
junction_832,13.238_52.5308,13.238,52.5308
junction_833,13.2382_52.5314,13.2382,52.5314
junction_834,13.2372_52.5297,13.2372,52.5297
