node_id,lon,lat
0,13.2259,52.528
1,13.2256,52.5282
2,13.2255,52.5282
3,13.2254,52.5283
4,13.2253,52.5283
5,13.2252,52.5283
6,13.225,52.5284
7,13.2248,52.5284
8,13.2247,52.5284
9,13.2245,52.5284
10,13.2243,52.5284
11,13.2242,52.5284
12,13.2241,52.5284
13,13.2238,52.5276
14,13.2234,52.5277
15,13.2426,52.528
16,13.2426,52.5281
17,13.2427,52.5281
18,13.2427,52.5282
19,13.2424,52.5283
20,13.2421,52.5285
21,13.2418,52.5286
22,13.2314,52.5285
23,13.2319,52.5284
24,13.2321,52.5284
25,13.2325,52.5284
26,13.2326,52.5285
27,13.2328,52.5285
28,13.2162,52.5269
29,13.2165,52.5269
30,13.2168,52.527
31,13.217,52.527
32,13.2173,52.5271
33,13.2175,52.5271
34,13.2177,52.5272
35,13.218,52.5273
36,13.2183,52.5274
37,13.2188,52.5277
38,13.2192,52.5278
39,13.2196,52.528
40,13.2198,52.528
41,13.22,52.5281
42,13.2202,52.5282
43,13.2205,52.5283
44,13.2207,52.5283
45,13.221,52.5284
46,13.2212,52.5285
47,13.2213,52.5285
48,13.2215,52.5285
49,13.2217,52.5286
50,13.2218,52.5286
51,13.2219,52.5286
52,13.222,52.5286
53,13.2223,52.5287
54,13.2225,52.5287
55,13.2228,52.5287
56,13.2231,52.5288
57,13.2235,52.5288
58,13.2239,52.5288
59,13.2243,52.5288
60,13.2246,52.5288
61,13.2248,52.5288
62,13.2251,52.5287
63,13.2253,52.5287
64,13.2256,52.5287
65,13.226,52.5286
66,13.2268,52.5285
67,13.2273,52.5284
68,13.2285,52.5282
69,13.2286,52.5282
70,13.2287,52.5282
71,13.2288,52.5282
72,13.2316,52.5277
73,13.2317,52.5277
74,13.2318,52.5277
75,13.2324,52.5276
76,13.2326,52.5276
77,13.2331,52.5275
78,13.2337,52.5274
79,13.2344,52.5273
80,13.2415,52.5281
81,13.2415,52.5282
82,13.2415,52.5283
83,13.2417,52.5289
84,13.2424,52.5293
85,13.2425,52.5294
86,13.2426,52.5294
87,13.2427,52.5296
88,13.2169,52.5288
89,13.217,52.5288
90,13.2171,52.5287
91,13.2171,52.5286
92,13.2475,52.5295
93,13.2473,52.5294
94,13.2472,52.5294
95,13.2471,52.5294
96,13.2462,52.5298
97,13.2456,52.5299
98,13.2448,52.5302
99,13.2447,52.5303
100,13.2452,52.5313
101,13.2453,52.5315
102,13.2471,52.5325
103,13.247,52.5323
104,13.247,52.5322
105,13.2469,52.5322
106,13.2468,52.5322
107,13.2469,52.5326
108,13.2471,52.5326
109,13.2474,52.5325
110,13.2477,52.5331
111,13.2477,52.5332
112,13.2478,52.5331
113,13.2479,52.5331
114,13.2477,52.5326
115,13.2476,52.5325
116,13.2167,52.5334
117,13.2182,52.5332
118,13.2183,52.5332
119,13.2187,52.5333
120,13.2473,52.5346
121,13.2473,52.5345
122,13.2472,52.5344
123,13.2472,52.5342
124,13.2472,52.5341
125,13.2472,52.534
126,13.2471,52.5339
127,13.2473,52.5315
128,13.2472,52.5315
129,13.2468,52.5315
130,13.2399,52.5284
131,13.2398,52.5284
132,13.2392,52.5286
133,13.2387,52.5288
134,13.2384,52.5288
135,13.2382,52.5289
136,13.2381,52.5289
137,13.2378,52.5289
138,13.2372,52.529
139,13.237,52.529
140,13.2368,52.5291
141,13.2367,52.5291
142,13.2354,52.5292
143,13.2346,52.5293
144,13.2343,52.5294
145,13.2337,52.5294
146,13.2336,52.5294
147,13.2333,52.5295
148,13.2331,52.5295
149,13.2327,52.5295
150,13.232,52.5296
151,13.2315,52.5297
152,13.2306,52.5298
153,13.2276,52.5301
154,13.2269,52.5302
155,13.2267,52.5303
156,13.2265,52.5303
157,13.2257,52.5304
158,13.2244,52.5305
159,13.2241,52.5306
160,13.2239,52.5306
161,13.2238,52.5306
162,13.2232,52.5307
163,13.222,52.5308
164,13.2215,52.5308
165,13.2214,52.5309
166,13.2209,52.5309
167,13.2208,52.5309
168,13.2207,52.5309
169,13.2199,52.531
170,13.2185,52.5312
171,13.218,52.5312
172,13.2169,52.5314
173,13.2162,52.5315
174,13.2151,52.5316
175,13.2145,52.5317
176,13.214,52.5317
177,13.2139,52.5317
178,13.2138,52.5318
179,13.2434,52.5362
180,13.2433,52.536
181,13.2477,52.5356
182,13.2469,52.5359
183,13.2471,52.5361
184,13.2472,52.5364
185,13.2466,52.5373
186,13.2465,52.5373
187,13.2464,52.5373
188,13.2462,52.5371
189,13.2462,52.537
190,13.2463,52.5368
191,13.2464,52.5367
192,13.2463,52.5366
193,13.2447,52.5345
194,13.2448,52.5345
195,13.2449,52.5344
196,13.245,52.5344
197,13.2455,52.5342
198,13.2456,52.5342
199,13.2457,52.5343
200,13.2473,52.5356
201,13.2474,52.5356
202,13.2475,52.5355
203,13.2478,52.5355
204,13.2477,52.5352
205,13.2221,52.539
206,13.2221,52.5389
207,13.2221,52.5386
208,13.2221,52.5385
209,13.2224,52.5383
210,13.2218,52.539
211,13.2218,52.5389
212,13.2218,52.5386
213,13.2219,52.5385
214,13.2219,52.5382
215,13.2172,52.5387
216,13.218,52.5388
217,13.2231,52.5402
218,13.2231,52.5408
219,13.2476,52.5406
220,13.2475,52.5406
221,13.2474,52.5406
222,13.2473,52.5406
223,13.247,52.5406
224,13.2473,52.542
225,13.2472,52.542
226,13.2471,52.542
227,13.2209,52.5397
228,13.2212,52.5397
229,13.2212,52.5394
230,13.2209,52.5393
231,13.2257,52.5424
232,13.2257,52.5425
233,13.2262,52.5434
234,13.242,52.5469
235,13.2421,52.5465
236,13.2422,52.5457
237,13.2328,52.5472
238,13.2329,52.5471
239,13.233,52.5471
240,13.2331,52.5469
241,13.2333,52.5467
242,13.2334,52.5465
243,13.2335,52.5464
244,13.2476,52.5448
245,13.2474,52.5446
246,13.2471,52.5443
247,13.2471,52.5442
248,13.2172,52.5377
249,13.2174,52.5376
250,13.2182,52.5373
251,13.2187,52.5372
252,13.2191,52.537
253,13.2197,52.5369
254,13.2201,52.5369
255,13.2205,52.5368
256,13.2209,52.5368
257,13.2212,52.5368
258,13.2214,52.5369
259,13.2221,52.5369
260,13.2229,52.537
261,13.2229,52.5371
262,13.223,52.5371
263,13.2231,52.5371
264,13.2233,52.5371
265,13.2237,52.5372
266,13.2302,52.5383
267,13.2301,52.5382
268,13.2298,52.5382
269,13.2295,52.5381
270,13.2333,52.541
271,13.233,52.5408
