from_id,to_id,way_id,highway_type,way_name,length
13.226_52.5472,13.2261_52.5472,30932593,residential,Pulvermühlenweg,0.000100
13.2261_52.5472,13.2268_52.5469,30932593,residential,Pulvermühlenweg,0.000762
13.2268_52.5469,13.227_52.5469,30932593,residential,Pulvermühlenweg,0.000200
13.227_52.5469,13.2279_52.5465,30932593,residential,Pulvermühlenweg,0.000985
13.2279_52.5465,13.2291_52.5461,30932593,residential,Pulvermühlenweg,0.001265
13.2291_52.5461,13.2293_52.546,30932593,residential,Pulvermühlenweg,0.000224
13.2476_52.5383,13.2475_52.5383,30949714,secondary,Nonnendammallee,0.000100
13.2475_52.5383,13.2475_52.5383,30949714,secondary,Nonnendammallee,0.000000
13.2475_52.5383,13.2471_52.5383,30949714,secondary,Nonnendammallee,0.000400
13.2471_52.5383,13.2471_52.5383,30949714,secondary,Nonnendammallee,0.000000
13.2471_52.5383,13.247_52.5383,30949714,secondary,Nonnendammallee,0.000100
13.2471_52.5383,13.2471_52.5384,1211741448,service,,0.000100
13.247_52.5383,13.2467_52.5384,30949714,secondary,Nonnendammallee,0.000316
13.2467_52.5384,13.2463_52.5384,30949714,secondary,Nonnendammallee,0.000400
13.2463_52.5384,13.246_52.5384,30949714,secondary,Nonnendammallee,0.000300
13.246_52.5384,13.2454_52.5384,30949714,secondary,Nonnendammallee,0.000600
13.246_52.5384,13.246_52.5385,37431738,service,,0.000100
13.2454_52.5384,13.2451_52.5384,30949714,secondary,Nonnendammallee,0.000300
13.2451_52.5384,13.2447_52.5385,30949714,secondary,Nonnendammallee,0.000412
13.2447_52.5385,13.2442_52.5385,30949714,secondary,Nonnendammallee,0.000500
13.2442_52.5385,13.2438_52.5385,30949714,secondary,Nonnendammallee,0.000400
13.2438_52.5385,13.2438_52.5386,122678796,service,,0.000100
13.2438_52.5385,13.2419_52.5388,404948825,secondary,Nonnendammallee,0.001924
13.2433_52.5438,13.2433_52.5438,30949821,tertiary,Gartenfelder Straße,0.000000
13.2433_52.5438,13.2431_52.5438,30949821,tertiary,Gartenfelder Straße,0.000200
13.2433_52.5438,13.2434_52.5438,1331346842,service,,0.000100
13.2431_52.5438,13.243_52.5437,30949821,tertiary,Gartenfelder Straße,0.000141
13.243_52.5437,13.243_52.5437,30949821,tertiary,Gartenfelder Straße,0.000000
13.243_52.5437,13.2424_52.5436,30949821,tertiary,Gartenfelder Straße,0.000608
13.243_52.5437,13.243_52.5438,122535310,service,,0.000100
13.2424_52.5436,13.2423_52.5435,30949821,tertiary,Gartenfelder Straße,0.000141
13.2424_52.5436,13.2424_52.5435,1009735921,service,,0.000100
13.2423_52.5435,13.2421_52.5435,30949821,tertiary,Gartenfelder Straße,0.000200
13.2421_52.5435,13.242_52.5435,613063668,tertiary,Gartenfelder Straße,0.000100
13.2398_52.5429,13.2399_52.5429,30949828,tertiary,Gartenfelder Straße,0.000100
13.2398_52.5429,13.2398_52.5428,126289879,residential,Berthold-Schwarz-Straße,0.000100
13.2323_52.5384,13.2324_52.5385,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000141
13.2324_52.5385,13.2324_52.5386,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000100
13.2324_52.5386,13.2324_52.5387,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000100
13.2324_52.5387,13.2324_52.5387,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000000
13.2324_52.5387,13.2324_52.5389,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000200
13.2324_52.5387,13.2325_52.5387,1214319171,service,,0.000100
13.2324_52.5389,13.2323_52.539,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000141
13.2323_52.539,13.2323_52.5391,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000100
13.2323_52.5391,13.2323_52.5392,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000100
13.2323_52.5392,13.2323_52.5393,31719426,secondary,Ferdinand-Friedensburg-Platz,0.000100
13.2316_52.5391,13.2315_52.539,31719432,secondary,Am Juliusturm,0.000141
13.2315_52.539,13.2308_52.5385,31719432,secondary,Am Juliusturm,0.000860
13.2308_52.5385,13.2305_52.5384,31719432,secondary,Am Juliusturm,0.000316
13.2308_52.5385,13.2307_52.5386,780131242,service,,0.000141
13.2305_52.5384,13.2302_52.5383,31719432,secondary,Am Juliusturm,0.000316
13.232_52.5395,13.232_52.5394,31719754,secondary,Daumstraße,0.000100
13.232_52.5394,13.2319_52.5393,31719754,secondary,Daumstraße,0.000141
13.2319_52.5393,13.2319_52.5393,31719754,secondary,Daumstraße,0.000000
13.2319_52.5393,13.2319_52.5392,31719754,secondary,Daumstraße,0.000100
13.2319_52.5391,13.2319_52.5389,32197160,secondary,Ferdinand-Friedensburg-Platz,0.000200
13.2319_52.5389,13.2319_52.5386,460199649,secondary,Ferdinand-Friedensburg-Platz,0.000300
13.2228_52.539,13.224_52.539,32264860,service,,0.001200
13.2228_52.539,13.2226_52.5389,722128350,service,,0.000224
13.224_52.539,13.2241_52.539,32264860,service,,0.000100
13.2241_52.539,13.2242_52.5391,32264860,service,,0.000141
13.2242_52.5391,13.2245_52.5391,32264860,service,,0.000300
13.2245_52.5391,13.2246_52.5391,32264860,service,,0.000100
13.2245_52.5391,13.2246_52.5383,722128349,service,,0.000806
13.2246_52.5391,13.2249_52.5391,32264860,service,,0.000300
