from_id,to_id,way_id,highway_type,way_name,length
13.2401_52.5287,13.24_52.5285,25308382,service,,0.000224
13.24_52.5285,13.2399_52.5285,25308382,service,,0.000100
13.2399_52.5285,13.2399_52.5284,25308382,service,,0.000100
13.2399_52.5285,13.2398_52.5286,855885244,service,,0.000141
13.2404_52.5339,13.2403_52.5339,26131451,service,Großer Spreering,0.000100
13.2404_52.5339,13.2404_52.534,27113688,service,,0.000100
13.2403_52.5339,13.2403_52.5339,26131451,service,Großer Spreering,0.000000
13.2403_52.5339,13.2401_52.5339,26131451,service,Großer Spreering,0.000200
13.2401_52.5339,13.2397_52.534,26131451,service,Großer Spreering,0.000412
13.2397_52.534,13.2393_52.534,26131451,service,Großer Spreering,0.000400
13.2397_52.534,13.2396_52.5339,27113690,service,,0.000141
13.2393_52.534,13.2389_52.534,26131451,service,Großer Spreering,0.000400
13.2389_52.534,13.2387_52.534,26131451,service,Großer Spreering,0.000200
13.2389_52.534,13.2389_52.5339,27113689,service,,0.000100
13.2387_52.534,13.2384_52.534,26131451,service,Großer Spreering,0.000300
13.2384_52.534,13.2376_52.5341,26131451,service,Großer Spreering,0.000806
13.2376_52.5341,13.2373_52.5342,26131451,service,Großer Spreering,0.000316
13.2376_52.5341,13.238_52.5348,26989361,service,,0.000806
13.2373_52.5342,13.2371_52.5342,26131451,service,Großer Spreering,0.000200
13.2371_52.5342,13.2369_52.5342,26131451,service,Großer Spreering,0.000200
13.2369_52.5342,13.2368_52.5343,26131451,service,Großer Spreering,0.000141
13.2368_52.5343,13.2368_52.5344,26131451,service,Großer Spreering,0.000100
